voice_id,range,phrase,bpm,style,groove,cut_amount,recipe_version,listening_approved,reviewer,notes
UNASSIGNED,low,Make the room move.,110,clean,,,edit-v1-candidate-1,PENDING,,
UNASSIGNED,low,Make the room move.,110,dark_echo,,,edit-v1-candidate-1,PENDING,,
UNASSIGNED,low,Make the room move.,110,sexy_robot,,,edit-v1-candidate-1,PENDING,,
UNASSIGNED,low,Make the room move.,110,chopped_up,straight,half,edit-v1-candidate-1,PENDING,,
UNASSIGNED,low,Make the room move.,110,chopped_up,straight,small,edit-v1-candidate-1,PENDING,,
UNASSIGNED,low,Make the room move.,110,chopped_up,triplet,half,edit-v1-candidate-1,PENDING,,
UNASSIGNED,low,Make the room move.,110,chopped_up,triplet,small,edit-v1-candidate-1,PENDING,,
UNASSIGNED,low,Make the room move.,110,chopped_up,double,half,edit-v1-candidate-1,PENDING,,
UNASSIGNED,low,Make the room move.,110,chopped_up,double,small,edit-v1-candidate-1,PENDING,,
UNASSIGNED,low,Make the room move.,128,clean,,,edit-v1-candidate-1,PENDING,,
UNASSIGNED,low,Make the room move.,128,dark_echo,,,edit-v1-candidate-1,PENDING,,
UNASSIGNED,low,Make the room move.,128,sexy_robot,,,edit-v1-candidate-1,PENDING,,
UNASSIGNED,low,Make the room move.,128,chopped_up,straight,half,edit-v1-candidate-1,PENDING,,
UNASSIGNED,low,Make the room move.,128,chopped_up,straight,small,edit-v1-candidate-1,PENDING,,
UNASSIGNED,low,Make the room move.,128,chopped_up,triplet,half,edit-v1-candidate-1,PENDING,,
UNASSIGNED,low,Make the room move.,128,chopped_up,triplet,small,edit-v1-candidate-1,PENDING,,
UNASSIGNED,low,Make the room move.,128,chopped_up,double,half,edit-v1-candidate-1,PENDING,,
UNASSIGNED,low,Make the room move.,128,chopped_up,double,small,edit-v1-candidate-1,PENDING,,
UNASSIGNED,low,Make the room move.,140,clean,,,edit-v1-candidate-1,PENDING,,
UNASSIGNED,low,Make the room move.,140,dark_echo,,,edit-v1-candidate-1,PENDING,,
UNASSIGNED,low,Make the room move.,140,sexy_robot,,,edit-v1-candidate-1,PENDING,,
UNASSIGNED,low,Make the room move.,140,chopped_up,straight,half,edit-v1-candidate-1,PENDING,,
UNASSIGNED,low,Make the room move.,140,chopped_up,straight,small,edit-v1-candidate-1,PENDING,,
UNASSIGNED,low,Make the room move.,140,chopped_up,triplet,half,edit-v1-candidate-1,PENDING,,
UNASSIGNED,low,Make the room move.,140,chopped_up,triplet,small,edit-v1-candidate-1,PENDING,,
UNASSIGNED,low,Make the room move.,140,chopped_up,double,half,edit-v1-candidate-1,PENDING,,
UNASSIGNED,low,Make the room move.,140,chopped_up,double,small,edit-v1-candidate-1,PENDING,,
UNASSIGNED,low,"When the lights go down, bring the whole room together. Keep the rhythm close and let the night begin.",110,clean,,,edit-v1-candidate-1,PENDING,,
UNASSIGNED,low,"When the lights go down, bring the whole room together. Keep the rhythm close and let the night begin.",110,dark_echo,,,edit-v1-candidate-1,PENDING,,
UNASSIGNED,low,"When the lights go down, bring the whole room together. Keep the rhythm close and let the night begin.",110,sexy_robot,,,edit-v1-candidate-1,PENDING,,
UNASSIGNED,low,"When the lights go down, bring the whole room together. Keep the rhythm close and let the night begin.",110,chopped_up,straight,half,edit-v1-candidate-1,PENDING,,
UNASSIGNED,low,"When the lights go down, bring the whole room together. Keep the rhythm close and let the night begin.",110,chopped_up,straight,small,edit-v1-candidate-1,PENDING,,
